PRCP ID,Statistical Outlier %,Statistical Outlier Score
1000670047,3.40400,1
1000670048,2.43218,1
1000670061, 11.26492,1
1000670072, 15.02628,1
1000670079,2.40052,1
1000670081, 22.52785,1
1000670089,3.05409,1
1000670100,4.06930,1
1000670103, 11.59874,1
1000670106,4.65920,1
1000670112, 26.56626,1
1000670121,1.12460,3
1000670142, 25.04408,1
1000670147, 26.65901,1
1000670148,3.97732,1
1000670150,2.44134,1
1000670164, 14.11200,1
1000670179,1.89862,1
1000670183,5.15969,1
1000670195, 14.13100,1
1000670203,4.73951,1
1000670218,3.67940,1
1000670222,3.67229,1
1000670226,0.66308,3
1000670233, 14.09672,1
1000670261,0.98900,3
1000670280,1.60676,1
1000670281,2.03842,1
1000670302, 21.34962,1
1000670309,3.53720,1
1000670312,5.38395,1
1000670322,7.64392,1
1000670332,3.19100,1
1000670340,   1675.73336,2
1000670345,3.98639,1
1000670349,3.36070,1
1000670375,823.25405,2
1000670382, 20.52956,1
1000670385,3.74697,1
1000670397,2.76749,1
1000670403, 74.36410,2
1000670434,4.38554,1
1000670475,6.25538,1
1000670476, 73.45460,2
1000670483,3.43569,1
1000670484,6.66582,1
1000670486,7.46823,1
1000670489,5.96126,1
1000670506,4.30896,1
1000670511, 26.47840,1
1000670520,2.65481,1
1000670539,3.94325,1
1000670541,0.35100,3
1000670545,2.12954,1
1000670547, 13.81322,1
1000670574,161.84717,2
1000670577,7.31766,1
1000670578,1.92150,1
1000670580,4.25571,1
1000670581,6.88937,1
1000670586,221.19362,2
1000670588, 11.84903,1
1000670615,9.05304,1
1000670617,0.46335,3
1000670621, 10.54475,1
1000670622,145.64054,2
1000670645,1.87200,1
1000670671, 22.92722,1
1000670683,5.31300,1
1000670697,1.79160,1
1000670710,2.47474,1
1000670713,8.30729,1
1000670720,1.43080,1
1000670735, 15.72915,1
1000670737,3.33053,1
1000670745,1.71600,1
1000670747,7.07329,1
1000670764,3.80433,1
1000670766, 32.11800,1
1000670770, 13.00494,1
1000670772,5.45425,1
1000670778,7.41754,1
1000670782,8.25214,1
1000670789,3.80308,1
1000670796, 12.50237,1
1000670803, 41.80628,2
1000670824,7.21871,1
1000670827, 10.63485,1
1000670832,5.37982,1
1000670848,3.27060,1
1000670850,5.75596,1
1000670853,8.63389,1
1000670863,4.65276,1
1000670869,9.50210,1
1000670874, 17.51290,1
1000670881,2.17113,1
1000670893,0.14000,3
1000670907,4.02136,1
1000670911,9.87821,1
1000670919,2.58550,1
1000670940,1.18573,3
1000671005,8.66312,1
1000671008,2.05100,1
1000671009,7.98946,1
1000671010,0.73624,3
1000671018, 13.29039,1
