PRCP ID,Auto-Encoder Outlier %,Auto-Encoder Outlier Score
1000235714,0.000135,2
1000235715,0.000079,3
1000235719,0.000086,1
1000235723,0.00009,1
1000235726,0.000079,3
1000235727,0.000086,1
1000235756,0.000088,1
1000235807,0.000087,1
1000235808,0.000081,1
1000235810,0.00011,1
1000235814,0.000089,1
1000235817,0.000085,1
1000235820,0.000094,1
1000235822,0.000121,1
1000235824,0.000084,1
1000235845,0.000127,1
1000235846,0.000085,1
1000235868,0.000092,1
1000235869,0.000093,1
1000235871,0.000089,1
1000235907,0.000079,3
1000235915,0.000086,1
1000235929,0.000103,1
1000235967,0.000107,1
1000236002,0.000085,1
1000236017,0.000087,1
1000236019,0.000084,1
1000236021,0.000086,1
1000236023,0.000085,1
1000236024,0.000085,1
1000236027,0.000085,1
1000236028,0.000083,1
1000236029,0.00008,1
1000236035,0.000126,1
1000236040,0.00008,1
1000236041,0.000083,1
1000236045,0.000088,1
1000236117,0.000538,2
1000236131,0.000078,3
1000236183,0.000082,1
1000236189,0.000084,1
1000236209,0.00008,1
1000236215,0.000078,3
1000236224,0.000081,1
1000236246,0.000081,1
1000236248,0.000078,3
1000236250,0.000086,1
1000236252,0.000145,2
1000236262,0.000258,2
1000236265,0.000266,2
1000236267,0.000085,1
1000236296,0.000085,1
1000236307,0.000092,1
1000236329,0.000085,1
1000236348,0.000082,1
1000236371,0.000318,2
1000236373,0.000089,1
1000236377,0.000126,1
1000236378,0.000082,1
1000236405,0.000087,1
1000236443,0.000083,1
1000236448,0.000087,1
1000236450,0.00059,2
1000236452,0.000084,1
1000236466,0.000078,3
1000236470,0.000096,1
1000236522,0.000092,1
1000236545,0.000114,1
1000236545,0.000086,1
1000236567,0.000078,3
1000236577,0.000086,1
1000236578,0.000089,1
1000236591,0.00008,3
1000236618,0.000115,1
1000236625,0.000392,2
1000236628,0.000089,1
1000236637,0.000096,1
1000236664,0.000085,1
1000236667,0.000082,1
1000236668,0.000123,1
1000236680,0.000084,1
1000236693,0.000113,1
1000236695,0.000098,1
1000236702,0.000086,1
1000236706,0.000557,2
1000236710,0.000082,1
1000236752,0.000081,1
1000236760,0.000086,1
1000236796,0.000085,1
1000236800,0.000149,2
1000236803,0.000087,1
1000236806,0.000085,1
1000236845,0.000084,1
1000236856,0.000091,1
1000236879,0.000078,3
1000236900,0.000093,1
1000236901,0.000089,1
1000236905,0.00008,1
1000236928,0.000085,1
1000236930,0.000099,1
1000236938,0.000127,1
1000237006,0.000081,1
1000237019,0.000094,1
1000237032,0.000093,1
1000237035,0.000095,1
1000237038,0.000082,1
1000237043,0.000088,1
1000237054,0.000078,3
1000237068,0.000082,1
1000237071,0.000081,1
1000237080,0.000081,1
1000237092,0.000085,1
1000237113,0.000087,1
1000237124,0.000126,1
1000237132,0.000094,1
1000237137,0.000088,1
1000237150,0.000089,1
1000237155,0.000131,2
1000237169,0.000082,1
1000237206,0.000084,1
1000237208,0.000465,2
1000237226,0.000085,1
1000237229,0.000089,1
1000237253,0.000096,1
1000237258,0.000083,1
1000237262,0.000086,1
1000237272,0.000103,1
1000237277,0.000085,1
1000237289,0.000084,1
1000237292,0.00008,1
1000237295,0.000153,2
1000237297,0.000126,1
1000237300,0.000084,1
1000237302,0.000534,2
1000237303,0.000091,1
1000237353,0.000079,3
1000237363,0.000469,2
1000237366,0.000108,1
1000237368,0.000083,1
1000237380,0.000085,1
1000237383,0.000123,1
1000237388,0.00009,1
1000237389,0.000085,1
1000237399,0.000401,2
1000237402,0.000091,1
1000237418,0.000087,1
1000237433,0.000089,1
1000237436,0.000077,3
1000237448,0.000118,1
1000237452,0.000112,1
1000237455,0.000081,1
1000237459,0.000145,2
1000237469,0.00008,1
1000237473,0.00008,3
1000237480,0.000091,1
1000237484,0.000108,1
1000237503,0.000084,1
1000237505,0.000583,2
1000237511,0.000091,1
1000237512,0.000105,1
1000237520,0.000105,1
1000237550,0.000118,1
1000237553,0.000089,1
1000237576,0.000083,1
1000237582,0.000082,1
1000237587,0.000107,1
1000237595,0.000094,1
1000237597,0.000079,3
1000237599,0.000106,1
1000237601,0.000085,1
1000237616,0.000081,1
1000237620,0.000083,1
1000237640,0.000095,1
1000237650,0.000078,3
1000237657,0.000085,1
1000237676,0.000227,2
1000237679,0.000482,2
1000237685,0.000083,1
1000237695,0.000358,2
1000237706,0.000087,1
1000237716,0.000091,1
1000237744,0.000103,1
1000237779,0.000082,1
1000237788,0.000081,1
1000237815,0.000111,1
1000237823,0.000085,1
1000237833,0.000236,2
1000237834,0.000081,1
1000237852,0.000083,1
1000237867,0.000119,1
1000237906,0.000096,1
1000237909,0.000085,1
1000237921,0.000534,2
1000237923,0.000084,1
1000237928,0.000084,1
1000237944,0.00009,1
1000237959,0.00012,1
1000237961,0.000084,1
1000237989,0.000082,1
1000238002,0.000131,2
1000238009,0.000082,1
1000238023,0.000085,1
1000238035,0.000096,1
1000238037,0.000088,1
1000238060,0.000083,1
1000238072,0.000084,1
1000238086,0.00008,3
1000238088,0.00009,1
1000238144,0.00008,1
1000238147,0.000083,1
1000238154,0.000084,1
1000238159,0.000081,1
1000238183,0.000074,3
1000238187,0.000081,1
1000238195,0.000226,2
1000238227,0.00008,3
1000238258,0.000085,1
1000238269,0.000085,1
1000238275,0.000093,1
1000238295,0.000079,3
1000238325,0.000083,1
1000238369,0.000102,1
1000238381,0.00008,3
1000238397,0.000084,1
1000238399,0.000088,1
1000238414,0.000083,1
1000238418,0.000118,1
1000238423,0.00009,1
1000238424,0.000548,2
1000238425,0.000132,2
1000238428,0.000542,2
1000238465,0.000085,1
1000238494,0.000091,1
1000238511,0.00008,3
